id,patient_id,user_id,full_name,address,bank_name,bank_account_number,paying_for,insurance_provider,insurance_tier_availed,medication_used,quantity,total_price_php,terms_accepted,payment_status,created_at,updated_at
11,P0011,db76315c-5d93-441f-877f-20f451dd14c7,Robert Smith,"929 Birch St, Cedarburg, CO 67454",Federal Bank,8807403239,Laboratory Tests,Aetna,Platinum,Blood Test Kit,26,3724.85,Credit Card,completed,2024-12-01 00:00:00.000+00,2024-09-29 00:00:00.000+00
12,P0012,22f262da-91e6-46a6-b70c-094800d46a86,Robert Davis,"898 Birch St, Riverside, WA 69353",First National Bank,7112871952,General Consultation,United Healthcare,Standard,Ibuprofen 200mg,68,2768.52,Installment Plan,failed,2024-06-23 00:00:00.000+00,2024-11-21 00:00:00.000+00
13,P0013,5072b09a-53a4-419a-8fab-1236cdbc7e56,Maria Brown,"218 Elm St, Pineville, GA 63682",State Bank,2685323069,General Consultation,Anthem,Gold,Blood Test Kit,68,22747.09,Partial Payment,pending,2024-09-23 00:00:00.000+00,2024-10-05 00:00:00.000+00
14,P0014,1449bde9-6a68-4df0-94d8-85595daeee04,Robert Smith,"193 Birch St, Oakwood, GA 67071",City Bank,8990902801,Vaccination,Anthem,Silver,Blood Test Kit,49,14945.02,Insurance Covered,pending,2024-07-27 00:00:00.000+00,2024-07-01 00:00:00.000+00
15,P0015,d4886979-e09f-4bb4-9926-83373bfdffc9,Emily Rodriguez,"993 Spruce Ave, Pineville, TX 63578",First National Bank,6714861899,Cardiology Consultation,Blue Cross,Gold,Eye Drops,91,30121.11,Credit Card,failed,2024-03-13 00:00:00.000+00,2024-06-26 00:00:00.000+00
16,P0016,6f6c0ebe-6522-42a5-a0bb-62fb6f65ad60,Maria Rodriguez,"919 Spruce Ave, Springfield, WA 62728",Community Bank,8689920213,Cardiology Consultation,Blue Cross,Gold,Blood Test Kit,46,49119.69,Partial Payment,failed,2024-06-12 00:00:00.000+00,2024-05-16 00:00:00.000+00
17,P0017,0ddb0d46-5663-40d6-b3ec-484463c4ca5d,David Martinez,"893 Oak Ave, Oakwood, CA 65699",Metro Bank,596103126,General Consultation,Blue Cross,Silver,Eye Drops,7,45557.86,Cash Payment,failed,2024-10-05 00:00:00.000+00,2024-09-05 00:00:00.000+00
18,P0018,5f257cfa-e298-4e02-ad9a-578a3f4bce48,Maria Garcia,"641 Maple Dr, Oakwood, NY 60921",First National Bank,9896317057,Laboratory Tests,United Healthcare,Standard,Eye Drops,34,15238.31,Installment Plan,pending,2024-01-11 00:00:00.000+00,2024-08-09 00:00:00.000+00
19,P0019,19cc9220-5a64-4587-8201-8741033647bd,Jane Garcia,"151 Pine Rd, Pineville, WA 66153",Community Bank,9709201548,Dermatology Treatment,United Healthcare,Standard,Flu Vaccine,96,31090.04,Cash Payment,pending,2024-11-23 00:00:00.000+00,2024-03-03 00:00:00.000+00
20,P0020,392300e3-c30b-4b80-8bf1-fba4c8182a04,Jane Miller,"568 Cedar Ln, Pineville, CO 61118",State Bank,113532825,Laboratory Tests,Blue Shield,Standard,Eye Drops,69,25236.33,Bank Transfer,completed,2024-12-26 00:00:00.000+00,2024-10-23 00:00:00.000+00
21,P0021,8c07d59b-2eb2-4df5-9645-4c21d46b0e04,James Martinez,"631 Oak Ave, Pineville, GA 65188",Metro Bank,4004685036,Dermatology Treatment,Kaiser,Bronze,Eye Drops,86,571.85,Insurance Covered,pending,2024-10-22 00:00:00.000+00,2024-09-30 00:00:00.000+00
22,P0022,ec5f31f5-2038-4c38-89f4-9d931015bca6,John Jones,"274 Elm St, Pineville, CO 65337",State Bank,2434646068,Dental Checkup,Kaiser,Platinum,Ibuprofen 200mg,17,11387.92,Installment Plan,pending,2024-11-08 00:00:00.000+00,2024-02-15 00:00:00.000+00
23,P0023,3283c015-0f4d-4046-b8ad-46484b700245,Maria Williams,"319 Spruce Ave, Riverside, CA 68830",Community Bank,2580483541,Laboratory Tests,United Healthcare,Silver,Blood Test Kit,15,16494.77,Credit Card,pending,2024-04-20 00:00:00.000+00,2024-11-14 00:00:00.000+00
24,P0024,173a887e-1222-4fe6-860b-345c4e35982d,Lisa Williams,"502 Main St, Maplewood, NY 68497",State Bank,9743237632,Eye Examination,Cigna,Gold,Ibuprofen 200mg,54,20225.42,Insurance Covered,completed,2024-12-21 00:00:00.000+00,2024-02-14 00:00:00.000+00
25,P0025,440ef7ba-4b75-443c-b9fb-2d65df8aab22,Emily Davis,"201 Pine Rd, Cedarburg, GA 65807",Community Bank,8306665314,Eye Examination,Blue Cross,Platinum,Pain Relief Cream,52,48436.8,Credit Card,failed,2024-05-31 00:00:00.000+00,2024-09-27 00:00:00.000+00
26,P0026,c9350c64-4537-424c-91d0-a9d0c99a9c14,Robert Brown,"543 Birch St, Riverside, TX 64980",City Bank,2861342825,Eye Examination,Blue Cross,Platinum,Eye Drops,56,45906.48,Credit Card,pending,2024-09-04 00:00:00.000+00,2024-10-09 00:00:00.000+00
27,P0027,65fecbf8-95f1-4b8b-b8d8-9fa589ee64bd,Maria Davis,"923 Cedar Ln, Maplewood, CA 69562",Metro Bank,6807946395,Dermatology Treatment,Cigna,Gold,Blood Test Kit,83,14841.89,Bank Transfer,failed,2024-12-10 00:00:00.000+00,2024-05-21 00:00:00.000+00
28,P0028,18882cf8-3197-4cc8-a58c-980fffc51a63,Robert Garcia,"681 Maple Dr, Maplewood, IL 69402",Metro Bank,4762961474,Dental Checkup,Cigna,Standard,Ibuprofen 200mg,82,16852.88,Bank Transfer,completed,2024-01-21 00:00:00.000+00,2024-06-25 00:00:00.000+00
29,P0029,c4175b35-925c-4416-ac7d-a8e4e0555033,Maria Martinez,"306 Maple Dr, Maplewood, CA 65347",City Bank,8236626131,Vaccination,Kaiser,Platinum,Pain Relief Cream,8,27574.28,Bank Transfer,pending,2024-04-22 00:00:00.000+00,2024-04-29 00:00:00.000+00
30,P0030,72ecaf09-9933-4a09-8348-3cc6c2ff4a89,John Rodriguez,"431 Pine Rd, Elmwood, GA 65958",Federal Bank,7938636991,Dermatology Treatment,Anthem,Silver,Aspirin 100mg,67,27948.0,Bank Transfer,completed,2024-02-08 00:00:00.000+00,2024-06-25 00:00:00.000+00
31,P0031,c917ee02-fce2-4f01-97ee-0a66020cb6dd,Sarah Garcia,"335 Main St, Riverside, GA 64811",Metro Bank,5855224112,Dermatology Treatment,Blue Shield,Silver,Ibuprofen 200mg,69,29936.08,Bank Transfer,completed,2024-06-06 00:00:00.000+00,2024-02-15 00:00:00.000+00
32,P0032,2b032d07-5f17-4823-9727-72c45f8fd155,James Williams,"896 Birch St, Springfield, WA 63133",State Bank,104829636,Dermatology Treatment,Blue Cross,Bronze,Flu Vaccine,54,13701.43,Bank Transfer,failed,2024-06-10 00:00:00.000+00,2024-05-20 00:00:00.000+00
33,P0033,db76315c-5d93-441f-877f-20f451dd14c7,David Rodriguez,"222 Birch St, Cedarburg, TX 63791",Federal Bank,4469419967,Laboratory Tests,United Healthcare,Bronze,Aspirin 100mg,90,25886.29,Insurance Covered,pending,2024-03-16 00:00:00.000+00,2024-04-29 00:00:00.000+00
34,P0034,d4886979-e09f-4bb4-9926-83373bfdffc9,Lisa Jones,"830 Maple Dr, Elmwood, IL 61955",Metro Bank,6056635455,Dental Checkup,Anthem,Platinum,Blood Test Kit,97,11694.5,Bank Transfer,failed,2024-09-30 00:00:00.000+00,2024-05-31 00:00:00.000+00
35,P0035,8eb951c5-6968-4d13-9ccf-8b5c9dc2702c,Sarah Jones,"556 Oak Ave, Maplewood, GA 69190",Metro Bank,6931940639,Dental Checkup,Humana,Bronze,Pain Relief Cream,16,34511.36,Credit Card,completed,2024-11-01 00:00:00.000+00,2024-04-29 00:00:00.000+00
36,P0036,65fecbf8-95f1-4b8b-b8d8-9fa589ee64bd,Sarah Williams,"695 Birch St, Riverside, TX 68807",Community Bank,5317627743,General Consultation,Blue Cross,Standard,Aspirin 100mg,98,24152.26,Installment Plan,failed,2024-07-14 00:00:00.000+00,2024-05-25 00:00:00.000+00
37,P0037,f6040ed4-e01d-446a-986f-8457d1585c4f,Robert Davis,"253 Cedar Ln, Riverside, CO 66190",City Bank,9799850461,Dental Checkup,Aetna,Bronze,Aspirin 100mg,18,37080.24,Installment Plan,pending,2024-05-07 00:00:00.000+00,2024-02-12 00:00:00.000+00
38,P0038,d69dadce-cc96-4fe6-b309-4fe4ea0378b1,Maria Rodriguez,"436 Cedar Ln, Pineville, FL 69194",First National Bank,7926567739,General Consultation,Cigna,Bronze,Aspirin 100mg,37,20413.23,Partial Payment,failed,2024-02-22 00:00:00.000+00,2024-09-07 00:00:00.000+00
39,P0039,cc44fd91-f30b-44b3-a897-96f28dd5ba3e,Jane Rodriguez,"874 Elm St, Oakwood, GA 65493",First National Bank,693580618,Dental Checkup,Blue Shield,Standard,Flu Vaccine,65,32064.7,Cash Payment,pending,2024-06-29 00:00:00.000+00,2024-11-12 00:00:00.000+00
40,P0040,2c49e374-cacc-4780-b5a1-098ce637f40b,Maria Smith,"481 Birch St, Springfield, CA 69621",Federal Bank,3285330855,General Consultation,Blue Cross,Bronze,Ibuprofen 200mg,63,42503.31,Partial Payment,failed,2024-04-24 00:00:00.000+00,2024-06-20 00:00:00.000+00
41,P0041,65fecbf8-95f1-4b8b-b8d8-9fa589ee64bd,Robert Williams,"648 Birch St, Elmwood, NY 66723",State Bank,119039802,Physical Therapy,Humana,Gold,Flu Vaccine,4,28047.49,Bank Transfer,failed,2024-11-29 00:00:00.000+00,2024-01-17 00:00:00.000+00
42,P0042,72ecaf09-9933-4a09-8348-3cc6c2ff4a89,Michael Garcia,"285 Elm St, Oakwood, NY 68127",Metro Bank,5975041625,Laboratory Tests,Humana,Standard,Eye Drops,49,41212.38,Credit Card,failed,2024-03-14 00:00:00.000+00,2024-05-21 00:00:00.000+00
43,P0043,9734f363-c59e-415a-b8fa-9679f54018b0,Maria Garcia,"153 Pine Rd, Pineville, FL 67485",State Bank,1836870648,Vaccination,Cigna,Standard,Aspirin 100mg,71,26152.55,Installment Plan,pending,2024-02-25 00:00:00.000+00,2024-10-21 00:00:00.000+00
44,P0044,4e70d591-81ad-468d-929d-e7042c7726c0,Robert Brown,"981 Cedar Ln, Maplewood, IL 64643",Federal Bank,7542284207,Cardiology Consultation,United Healthcare,Bronze,Eye Drops,44,47365.85,Insurance Covered,completed,2024-02-05 00:00:00.000+00,2024-05-28 00:00:00.000+00
45,P0045,b5f60b85-5c30-4305-a5b2-f9d37dd215a4,Emily Martinez,"539 Birch St, Oakwood, CA 68602",Metro Bank,2008966408,Vaccination,Aetna,Gold,Ibuprofen 200mg,91,8251.45,Cash Payment,failed,2024-03-15 00:00:00.000+00,2024-01-06 00:00:00.000+00
46,P0046,1449bde9-6a68-4df0-94d8-85595daeee04,John Garcia,"706 Pine Rd, Pineville, CA 68645",Metro Bank,392230838,Dermatology Treatment,Anthem,Platinum,Ibuprofen 200mg,21,32734.52,Cash Payment,completed,2024-01-15 00:00:00.000+00,2024-11-09 00:00:00.000+00
47,P0047,3bb3651a-8c4c-4ca0-be5e-6f707eb96115,David Rodriguez,"250 Maple Dr, Springfield, GA 63120",Community Bank,1652216675,Dental Checkup,Kaiser,Standard,Flu Vaccine,78,16229.98,Installment Plan,completed,2024-11-13 00:00:00.000+00,2024-09-11 00:00:00.000+00
48,P0048,013c81e2-97fd-43eb-a82d-3221cb431f50,John Jones,"468 Birch St, Springfield, IL 66570",Federal Bank,3524916180,Laboratory Tests,Blue Cross,Standard,Pain Relief Cream,61,29651.44,Installment Plan,failed,2024-06-13 00:00:00.000+00,2024-08-23 00:00:00.000+00
49,P0049,99f80acb-d80f-4f36-b3bc-9ba64d28052f,Michael Brown,"598 Elm St, Oakwood, CA 62393",Community Bank,837276721,Dermatology Treatment,Blue Cross,Gold,Aspirin 100mg,56,27974.0,Insurance Covered,failed,2024-05-14 00:00:00.000+00,2024-03-27 00:00:00.000+00
50,P0050,5abbe3bd-2a73-49a6-8c13-6fc4be4615aa,David Williams,"803 Spruce Ave, Fairview, IL 63995",City Bank,5865193580,Dental Checkup,Humana,Silver,Eye Drops,82,1071.09,Partial Payment,failed,2024-10-13 00:00:00.000+00,2024-01-21 00:00:00.000+00
51,P0051,c7971a9b-a983-434b-af15-6289cb2a4b1e,Lisa Davis,"571 Cedar Ln, Riverside, CA 60977",First National Bank,7726964303,Physical Therapy,Blue Shield,Silver,Pain Relief Cream,95,34598.79,Installment Plan,pending,2024-05-22 00:00:00.000+00,2024-11-18 00:00:00.000+00
52,P0052,cf78f150-2081-402b-acb7-72477be6c099,Maria Miller,"405 Cedar Ln, Cedarburg, TX 61398",Community Bank,1286594202,Dental Checkup,United Healthcare,Silver,Ibuprofen 200mg,24,16465.74,Bank Transfer,pending,2024-07-20 00:00:00.000+00,2024-04-16 00:00:00.000+00
53,P0053,c9350c64-4537-424c-91d0-a9d0c99a9c14,David Johnson,"708 Oak Ave, Riverside, WA 64544",City Bank,1173905713,Laboratory Tests,Cigna,Gold,Aspirin 100mg,46,47655.86,Insurance Covered,completed,2024-10-25 00:00:00.000+00,2024-12-22 00:00:00.000+00
54,P0054,e0bec793-17a0-438b-9c0f-070d445044e8,James Rodriguez,"162 Spruce Ave, Pineville, FL 63792",Community Bank,1614577757,Physical Therapy,Blue Cross,Standard,Aspirin 100mg,61,32342.51,Cash Payment,completed,2024-08-21 00:00:00.000+00,2024-02-26 00:00:00.000+00
55,P0055,cf2718f1-bdef-440f-866d-ae16638eced0,Lisa Jones,"234 Pine Rd, Fairview, GA 60201",State Bank,2656126757,Dermatology Treatment,United Healthcare,Bronze,Pain Relief Cream,66,11978.5,Cash Payment,failed,2024-02-25 00:00:00.000+00,2024-05-13 00:00:00.000+00
56,P0056,65fecbf8-95f1-4b8b-b8d8-9fa589ee64bd,Michael Jones,"198 Spruce Ave, Cedarburg, GA 66189",Metro Bank,2718361286,Dental Checkup,Blue Shield,Gold,Blood Test Kit,20,33307.19,Credit Card,completed,2024-08-04 00:00:00.000+00,2024-10-06 00:00:00.000+00
57,P0057,1449bde9-6a68-4df0-94d8-85595daeee04,James Garcia,"603 Pine Rd, Riverside, NY 66744",State Bank,7599751632,General Consultation,Aetna,Platinum,Blood Test Kit,43,13614.88,Credit Card,failed,2024-12-02 00:00:00.000+00,2024-11-10 00:00:00.000+00
58,P0058,ec5f31f5-2038-4c38-89f4-9d931015bca6,David Brown,"441 Cedar Ln, Fairview, IL 61794",Community Bank,5193302272,Dental Checkup,Humana,Bronze,Ibuprofen 200mg,17,38833.8,Cash Payment,pending,2024-10-22 00:00:00.000+00,2024-08-12 00:00:00.000+00
59,P0059,e48e7689-8413-432a-9253-4f7b34eef4b8,James Smith,"511 Maple Dr, Riverside, NY 67803",Federal Bank,577522745,Eye Examination,Anthem,Silver,Blood Test Kit,35,11305.5,Insurance Covered,pending,2024-10-10 00:00:00.000+00,2024-01-22 00:00:00.000+00
60,P0060,b5dafae6-e633-49eb-9594-9dcb0779d357,John Johnson,"484 Main St, Maplewood, TX 69427",First National Bank,7166408729,Cardiology Consultation,Kaiser,Gold,Pain Relief Cream,5,22458.34,Credit Card,pending,2024-11-05 00:00:00.000+00,2024-07-25 00:00:00.000+00
61,P0061,f69cfcf3-9059-4c82-bd90-a4b3adf2f627,Robert Davis,"841 Pine Rd, Springfield, NY 64325",Federal Bank,6299720415,Laboratory Tests,Kaiser,Standard,Flu Vaccine,77,18286.23,Partial Payment,failed,2024-07-23 00:00:00.000+00,2024-09-22 00:00:00.000+00
62,P0062,226fd27a-e526-47dc-9a50-441e2837fdbc,John Smith,"305 Oak Ave, Elmwood, IL 65169",State Bank,5010697911,Physical Therapy,Aetna,Gold,Blood Test Kit,37,48902.77,Cash Payment,pending,2024-09-08 00:00:00.000+00,2024-12-25 00:00:00.000+00
63,P0063,07674b17-2cef-4f03-88bd-64f46bcd5b95,Robert Brown,"399 Cedar Ln, Springfield, WA 69169",Community Bank,2608784678,Dermatology Treatment,Kaiser,Bronze,Aspirin 100mg,23,18398.32,Partial Payment,pending,2024-12-09 00:00:00.000+00,2024-03-03 00:00:00.000+00
64,P0064,7a4b99fc-a318-40b3-ae98-4e2f29dde1b5,Robert Davis,"901 Birch St, Cedarburg, CA 67344",Community Bank,2544932668,Laboratory Tests,Kaiser,Silver,Aspirin 100mg,4,42988.53,Partial Payment,completed,2024-09-17 00:00:00.000+00,2024-09-03 00:00:00.000+00
65,P0065,65fecbf8-95f1-4b8b-b8d8-9fa589ee64bd,James Johnson,"830 Spruce Ave, Pineville, CA 69137",State Bank,8746390637,Dental Checkup,Anthem,Silver,Pain Relief Cream,14,10645.73,Installment Plan,pending,2024-07-15 00:00:00.000+00,2024-05-29 00:00:00.000+00
66,P0066,5e54eecb-aa21-4ea3-9334-f5799f62f4c2,Jane Rodriguez,"768 Oak Ave, Springfield, CA 60637",State Bank,7518580200,Dental Checkup,Cigna,Bronze,Pain Relief Cream,67,34352.62,Insurance Covered,pending,2024-04-19 00:00:00.000+00,2024-10-20 00:00:00.000+00
67,P0067,013c81e2-97fd-43eb-a82d-3221cb431f50,Jane Brown,"617 Cedar Ln, Cedarburg, WA 63441",Metro Bank,8479579796,Dental Checkup,Humana,Gold,Aspirin 100mg,35,534.88,Cash Payment,completed,2024-09-25 00:00:00.000+00,2024-07-23 00:00:00.000+00
68,P0068,b5dafae6-e633-49eb-9594-9dcb0779d357,James Martinez,"684 Maple Dr, Pineville, GA 65373",Federal Bank,9953365984,Dental Checkup,Aetna,Bronze,Eye Drops,68,26700.87,Bank Transfer,completed,2024-06-03 00:00:00.000+00,2024-08-30 00:00:00.000+00
69,P0069,49e534b7-0769-40ab-b74e-71df3c9af61c,John Johnson,"941 Birch St, Riverside, WA 61005",Metro Bank,9901180333,Vaccination,Blue Cross,Gold,Pain Relief Cream,82,29943.28,Insurance Covered,completed,2024-12-08 00:00:00.000+00,2024-10-05 00:00:00.000+00
70,P0070,07674b17-2cef-4f03-88bd-64f46bcd5b95,Sarah Smith,"657 Birch St, Elmwood, FL 61523",First National Bank,6364589097,Dental Checkup,Anthem,Silver,Flu Vaccine,73,34877.37,Insurance Covered,pending,2024-12-14 00:00:00.000+00,2024-02-20 00:00:00.000+00
71,P0071,ac020397-a697-41a0-99a1-ae08b1194b29,John Johnson,"780 Spruce Ave, Maplewood, WA 66042",First National Bank,4456721735,Physical Therapy,Cigna,Gold,Aspirin 100mg,6,16605.47,Insurance Covered,failed,2024-05-14 00:00:00.000+00,2024-09-07 00:00:00.000+00
72,P0072,3283c015-0f4d-4046-b8ad-46484b700245,Michael Williams,"685 Spruce Ave, Fairview, WA 64966",Community Bank,5358366877,Physical Therapy,Aetna,Standard,Blood Test Kit,12,29103.63,Insurance Covered,failed,2024-10-17 00:00:00.000+00,2024-12-24 00:00:00.000+00
73,P0073,bcdb1629-e030-4104-a77a-20b6d5b65901,Lisa Smith,"647 Elm St, Cedarburg, IL 66671",First National Bank,7570244968,Laboratory Tests,Kaiser,Platinum,Pain Relief Cream,51,48137.73,Partial Payment,pending,2024-04-17 00:00:00.000+00,2024-03-24 00:00:00.000+00
74,P0074,cf78f150-2081-402b-acb7-72477be6c099,Sarah Garcia,"700 Spruce Ave, Oakwood, CO 61996",Federal Bank,5426242344,Eye Examination,Blue Shield,Bronze,Eye Drops,37,2584.37,Installment Plan,completed,2024-05-13 00:00:00.000+00,2024-01-10 00:00:00.000+00
75,P0075,070ad96f-2660-4df1-92e6-88a215d1dfee,David Williams,"351 Pine Rd, Riverside, WA 68223",Federal Bank,1682786615,Dental Checkup,Anthem,Platinum,Ibuprofen 200mg,89,37688.25,Partial Payment,failed,2024-10-16 00:00:00.000+00,2024-02-21 00:00:00.000+00
76,P0076,2eaa26e9-7807-456c-8344-d770d665bb66,Robert Smith,"162 Cedar Ln, Cedarburg, CA 60480",Metro Bank,1079231776,Dermatology Treatment,Blue Shield,Gold,Aspirin 100mg,34,23715.9,Installment Plan,pending,2024-01-03 00:00:00.000+00,2024-03-08 00:00:00.000+00
77,P0077,faeb2f6e-a71b-46ff-810d-7841d53fc05b,Sarah Jones,"916 Elm St, Cedarburg, WA 65028",Community Bank,5037213877,Physical Therapy,Aetna,Bronze,Aspirin 100mg,61,36669.93,Credit Card,completed,2024-03-07 00:00:00.000+00,2024-07-26 00:00:00.000+00
78,P0078,5abbe3bd-2a73-49a6-8c13-6fc4be4615aa,Sarah Brown,"478 Birch St, Maplewood, CA 61587",First National Bank,685235035,Dental Checkup,United Healthcare,Gold,Eye Drops,82,8782.9,Insurance Covered,pending,2024-11-26 00:00:00.000+00,2024-06-27 00:00:00.000+00
79,P0079,f54a3dce-343b-4a80-a238-cfcade14e809,Maria Brown,"269 Birch St, Maplewood, FL 63655",City Bank,981388501,Eye Examination,Cigna,Silver,Ibuprofen 200mg,57,37318.51,Credit Card,pending,2024-09-16 00:00:00.000+00,2024-09-09 00:00:00.000+00
80,P0080,c54dd239-6c85-405f-aa37-9944eb2092a8,Sarah Davis,"399 Maple Dr, Pineville, IL 62077",Community Bank,7794116960,General Consultation,Anthem,Standard,Eye Drops,5,36656.8,Installment Plan,completed,2024-09-16 00:00:00.000+00,2024-07-16 00:00:00.000+00
81,P0081,1449bde9-6a68-4df0-94d8-85595daeee04,James Martinez,"528 Maple Dr, Maplewood, FL 66552",Federal Bank,8295443551,Physical Therapy,Aetna,Gold,Pain Relief Cream,14,45103.03,Cash Payment,failed,2024-10-04 00:00:00.000+00,2024-09-29 00:00:00.000+00
82,P0082,ec5f31f5-2038-4c38-89f4-9d931015bca6,Maria Rodriguez,"490 Birch St, Fairview, GA 67378",First National Bank,3733034661,Physical Therapy,Anthem,Gold,Ibuprofen 200mg,36,16599.71,Insurance Covered,completed,2024-12-04 00:00:00.000+00,2024-10-13 00:00:00.000+00
83,P0083,2c49e374-cacc-4780-b5a1-098ce637f40b,Maria Johnson,"926 Elm St, Cedarburg, NY 62894",State Bank,3982303109,General Consultation,Anthem,Platinum,Eye Drops,50,17729.88,Credit Card,failed,2024-07-30 00:00:00.000+00,2024-08-17 00:00:00.000+00
84,P0084,cf2718f1-bdef-440f-866d-ae16638eced0,Michael Rodriguez,"275 Oak Ave, Fairview, GA 62882",State Bank,4146258304,Eye Examination,Kaiser,Silver,Aspirin 100mg,64,45900.31,Bank Transfer,completed,2024-09-10 00:00:00.000+00,2024-01-24 00:00:00.000+00
85,P0085,5abbe3bd-2a73-49a6-8c13-6fc4be4615aa,David Garcia,"406 Main St, Pineville, GA 63798",State Bank,3747873890,Laboratory Tests,Kaiser,Standard,Blood Test Kit,21,40496.99,Bank Transfer,pending,2024-08-11 00:00:00.000+00,2024-05-29 00:00:00.000+00
86,P0086,2eaa26e9-7807-456c-8344-d770d665bb66,Lisa Martinez,"167 Main St, Elmwood, GA 65701",Metro Bank,984211236,Dermatology Treatment,Cigna,Gold,Aspirin 100mg,78,38321.23,Credit Card,completed,2024-01-15 00:00:00.000+00,2024-01-04 00:00:00.000+00
87,P0087,cf8c7024-f72a-4ea0-ae98-2dc3fe95ecad,James Johnson,"431 Maple Dr, Maplewood, WA 64731",Community Bank,9543798767,Eye Examination,Blue Shield,Bronze,Eye Drops,46,21639.69,Installment Plan,pending,2024-12-09 00:00:00.000+00,2024-10-11 00:00:00.000+00
88,P0088,c917ee02-fce2-4f01-97ee-0a66020cb6dd,John Davis,"985 Oak Ave, Elmwood, GA 61234",State Bank,9018150868,Cardiology Consultation,Cigna,Bronze,Aspirin 100mg,31,14989.84,Partial Payment,completed,2024-08-22 00:00:00.000+00,2024-08-06 00:00:00.000+00
89,P0089,8f237c22-27c5-4074-ba00-15e17e276ab1,Michael Williams,"751 Elm St, Cedarburg, IL 66140",First National Bank,2848698415,Eye Examination,Kaiser,Silver,Aspirin 100mg,35,20714.89,Insurance Covered,completed,2024-05-10 00:00:00.000+00,2024-09-20 00:00:00.000+00
90,P0090,0f6941ea-1212-4031-977e-e81f4b49294b,Michael Davis,"332 Spruce Ave, Oakwood, TX 62449",Federal Bank,9236569051,Physical Therapy,Cigna,Platinum,Pain Relief Cream,72,17173.18,Installment Plan,completed,2024-02-04 00:00:00.000+00,2024-04-26 00:00:00.000+00
91,P0091,bef6a189-68dd-400a-9fc1-b7c32b9215b8,Jane Rodriguez,"868 Maple Dr, Pineville, FL 66346",First National Bank,7969349985,Vaccination,Anthem,Silver,Blood Test Kit,76,24643.27,Partial Payment,failed,2024-12-10 00:00:00.000+00,2024-10-10 00:00:00.000+00
